id,code,name,brand,category,price,stock,compatibility,description,image,oem_codes,installation_difficulty,warranty_months,weight,dimensions_length,dimensions_width,dimensions_height,supplier_name,supplier_code,supplier_lead_time_days
P101,Mahle-Filtro-Ar-445,Filtro de Ar Mahle,Mahle,filtros,32.50,75,"Honda Fit 2009-2014|Nissan March 2011-2016",Filtro de ar de alta eficiência da marca Mahle. Garante melhor performance do motor.,/images/filtros-101.jpg,"OEM-17220-5LA-A00",fácil,6,0.35,25.4,20.3,5.1,Filtros Premium,FP-001,3
P102,Denso-Vela-Iridium-892,Vela de Ignição Iridium Denso,Denso,eletrica,65.90,120,"Toyota Etios 2012-2020|Hyundai HB20 2012-2019",Vela de ignição com tecnologia iridium para maior durabilidade e performance.,/images/eletrica-102.jpg,"OEM-90919-01253",fácil,12,0.08,19.0,14.0,14.0,Ignição Total,IT-002,2
P103,Sachs-Embreagem-Kit-567,Kit Embreagem Sachs,Sachs,transmissao,890.00,45,"VW Polo 2002-2009|Seat Ibiza 2002-2008",Kit completo de embreagem com platô disco e rolamento.,/images/transmissao-103.jpg,"OEM-3000951301",difícil,18,15.2,240.0,240.0,50.0,Transmissões Pro,TP-003,7
P104,Mobil-Oleo-Motor-5W30,Óleo Motor 5W30 Mobil,Mobil,lubrificantes,45.90,200,"Universal - Motores Flex",Óleo sintético de alta performance para motores flex.,/images/lubrificantes-104.jpg,,fácil,0,1.0,25.0,15.0,20.0,Lubrificantes Brasil,LB-004,1
P105,Dayco-Correia-Poly-V-334,Correia Poly-V Dayco,Dayco,motor,85.40,90,"Ford Focus 2009-2013|Chevrolet Cruze 2011-2016",Correia poly-v para sistema de acessórios do motor.,/images/motor-105.jpg,"OEM-6PK1195",médio,12,0.45,119.5,2.5,0.8,Motor Parts,MP-005,4
P106,Hella-Farol-LED-789,Farol LED Hella,Hella,iluminacao,450.00,35,"Audi A3 2013-2020|VW Golf 2013-2020",Farol LED de alta tecnologia com excelente iluminação.,/images/iluminacao-106.jpg,"OEM-8V0941043C",médio,24,2.8,35.0,25.0,15.0,Iluminação Pro,IP-006,5
P107,Bendix-Pastilha-Ceramica-445,Pastilha Cerâmica Bendix,Bendix,freios,125.90,85,"BMW Série 3 2005-2012|Mercedes Classe C 2007-2014",Pastilha de freio cerâmica para alta performance.,/images/freios-107.jpg,"OEM-34116761244",fácil,18,1.2,15.0,10.0,2.5,Freios Premium,FP-007,3
P108,KYB-Amortecedor-Gas-667,Amortecedor a Gás KYB,KYB,suspensao,180.50,70,"Mitsubishi Lancer 2007-2017|Nissan Sentra 2007-2013",Amortecedor a gás para melhor estabilidade e conforto.,/images/suspensao-108.jpg,"OEM-333503",médio,12,2.1,35.0,5.0,5.0,Suspensão Total,ST-008,6
P109,Liqui-Moly-Aditivo-Motor,Aditivo Motor Liqui Moly,Liqui Moly,aditivos,35.90,150,"Universal - Todos os motores",Aditivo para limpeza e proteção interna do motor.,/images/aditivos-109.jpg,,fácil,0,0.3,15.0,8.0,8.0,Aditivos Pro,AP-009,2
P110,Magneti-Marelli-Bobina-223,Bobina de Ignição Magneti Marelli,Magneti Marelli,eletrica,180.00,60,"Fiat Punto 2007-2012|Fiat Linea 2008-2014",Bobina de ignição de alta qualidade para motores Fire.,/images/eletrica-110.jpg,"OEM-55219638",médio,12,0.8,12.0,8.0,8.0,Ignição Master,IM-010,4
P111,Continental-Pneu-185-65R15,Pneu 185/65R15 Continental,Continental,pneus,320.00,50,"Honda City 2009-2014|Toyota Yaris 2012-2018",Pneu de alta qualidade para carros compactos.,/images/pneus-111.jpg,,difícil,36,8.5,60.0,60.0,18.5,Pneus & Rodas,PR-011,8
P112,Elring-Junta-Cabecote-889,Junta do Cabeçote Elring,Elring,motor,250.00,40,"VW Gol 1.0 2005-2014|VW Fox 1.0 2003-2009",Junta do cabeçote de alta resistência térmica.,/images/motor-112.jpg,"OEM-030103383AF",difícil,24,0.5,25.0,20.0,0.5,Motor Expert,ME-012,5
P113,Osram-Lampada-H7-LED,Lâmpada H7 LED Osram,Osram,iluminacao,85.90,100,"Universal - Faróis H7",Lâmpada LED H7 de alta luminosidade e baixo consumo.,/images/iluminacao-113.jpg,,fácil,24,0.1,10.0,5.0,5.0,LED Tech,LT-013,2
P114,Ate-Disco-Freio-Ventilado,Disco de Freio Ventilado ATE,ATE,freios,180.00,55,"Peugeot 206 2001-2012|Citroën C3 2003-2012",Disco de freio ventilado para melhor dissipação de calor.,/images/freios-114.jpg,"OEM-24012101691",médio,18,4.2,26.0,26.0,2.5,Freios Europa,FE-014,4
P115,Febi-Bucha-Bandeja-334,Bucha da Bandeja Febi,Febi,suspensao,45.90,120,"BMW X1 2009-2015|Mini Cooper 2006-2013",Bucha de poliuretano para bandeja de suspensão.,/images/suspensao-115.jpg,"OEM-31126758510",fácil,12,0.2,8.0,6.0,4.0,Suspensão Import,SI-015,3
P116,Castrol-Oleo-Cambio-ATF,Óleo de Câmbio ATF Castrol,Castrol,lubrificantes,55.90,80,"Universal - Câmbios Automáticos",Óleo para transmissão automática de alta performance.,/images/lubrificantes-116.jpg,,médio,0,1.0,25.0,15.0,20.0,Lubrificantes Pro,LP-016,2
P117,Valeo-Motor-Limpador,Motor do Limpador Valeo,Valeo,eletrica,120.00,45,"Renault Clio 2000-2012|Renault Sandero 2007-2014",Motor do limpador de para-brisa dianteiro.,/images/eletrica-117.jpg,"OEM-7701061590",médio,12,1.5,15.0,12.0,10.0,Elétrica França,EF-017,6
P118,Lemforder-Terminal-Direcao,Terminal de Direção Lemförder,Lemförder,direcao,85.50,75,"Audi A4 2000-2008|VW Passat 2000-2005",Terminal de direção de alta qualidade alemã.,/images/direcao-118.jpg,"OEM-8D0422811B",médio,18,0.8,25.0,8.0,8.0,Direção Premium,DP-018,5
P119,Mahle-Filtro-Combustivel-556,Filtro de Combustível Mahle,Mahle,filtros,65.90,90,"Mercedes Sprinter 2006-2018|VW Crafter 2006-2016",Filtro de combustível para veículos comerciais diesel.,/images/filtros-119.jpg,"OEM-A6510900852",fácil,12,0.8,15.0,10.0,10.0,Filtros Diesel,FD-019,4
P120,Textar-Pastilha-Traseira-778,Pastilha Traseira Textar,Textar,freios,95.90,70,"Ford Fiesta 2002-2017|Ford Ka 2008-2014",Pastilha de freio traseira de alta qualidade.,/images/freios-120.jpg,"OEM-1848301",fácil,12,0.6,12.0,8.0,2.0,Freios Ford,FF-020,3
P121,Bilstein-Amortecedor-B4,Amortecedor Bilstein B4,Bilstein,suspensao,280.00,40,"Mercedes Classe E 2002-2009|BMW Série 5 2003-2010",Amortecedor premium para veículos de luxo.,/images/suspensao-121.jpg,"OEM-22116750175",médio,24,3.2,40.0,6.0,6.0,Suspensão Alemã,SA-021,7
P122,Motorcraft-Filtro-Ar-Cabine,Filtro do Ar Condicionado Motorcraft,Motorcraft,filtros,42.90,110,"Ford Fusion 2006-2012|Ford Edge 2007-2014",Filtro de cabine com carvão ativado.,/images/filtros-122.jpg,"OEM-8A8Z19N619A",fácil,6,0.3,25.0,20.0,3.0,Ford Original,FO-022,3
P123,Pierburg-Bomba-Combustivel,Bomba de Combustível Pierburg,Pierburg,motor,450.00,30,"Audi A6 2004-2011|VW Touareg 2002-2010",Bomba de combustível elétrica de alta pressão.,/images/motor-123.jpg,"OEM-4F0919051F",difícil,24,2.1,20.0,15.0,15.0,Motor Alemão,MA-023,8
P124,Philips-Lampada-Xenon-D3S,Lâmpada Xenon D3S Philips,Philips,iluminacao,180.00,25,"BMW X5 2007-2013|Mercedes ML 2005-2011",Lâmpada xenon D3S de alta qualidade.,/images/iluminacao-124.jpg,"OEM-42403",médio,24,0.2,12.0,5.0,5.0,Xenon Pro,XP-024,4
P125,Zimmermann-Disco-Perfurado,Disco Perfurado Zimmermann,Zimmermann,freios,320.00,35,"Porsche Boxster 1996-2004|Audi TT 1998-2006",Disco de freio perfurado para alta performance.,/images/freios-125.jpg,"OEM-99635140400",médio,18,5.8,30.0,30.0,3.2,Performance Parts,PP-025,6
P126,Sachs-Mola-Esportiva-445,Mola Esportiva Sachs,Sachs,suspensao,380.00,25,"VW Golf GTI 2004-2009|Audi A3 2003-2012",Mola esportiva para rebaixamento e melhor handling.,/images/suspensao-126.jpg,"OEM-1K0511115DK",médio,12,2.8,30.0,15.0,15.0,Tuning Parts,TP-026,5
P127,Total-Oleo-5W40-Sintetico,Óleo 5W40 Sintético Total,Total,lubrificantes,75.90,60,"Universal - Motores Turbo",Óleo sintético para motores turbo de alta performance.,/images/lubrificantes-127.jpg,,fácil,0,1.0,25.0,15.0,20.0,Lubrificantes França,LF-027,2
P128,Delphi-Sensor-Oxigenio-889,Sensor de Oxigênio Delphi,Delphi,eletrica,280.00,40,"Chevrolet Vectra 2005-2011|Chevrolet Astra 2005-2011",Sensor lambda para controle de emissões.,/images/eletrica-128.jpg,"OEM-93333743",médio,24,0.5,15.0,8.0,8.0,Sensores GM,SG-028,4
P129,Corteco-Retentor-Virabrequim,Retentor do Virabrequim Corteco,Corteco,motor,35.90,150,"Fiat Doblo 2001-2009|Fiat Idea 2005-2012",Retentor de vedação do virabrequim.,/images/motor-129.jpg,"OEM-46515063",fácil,12,0.1,10.0,10.0,1.0,Vedações Pro,VP-029,2
P130,Hankook-Pneu-205-55R16,Pneu 205/55R16 Hankook,Hankook,pneus,380.00,45,"Honda Civic 2006-2011|Toyota Corolla 2008-2014",Pneu de alta qualidade para sedãs médios.,/images/pneus-130.jpg,,difícil,36,9.2,65.0,65.0,20.5,Pneus Ásia,PA-030,7
P131,Brembo-Pastilha-Performance,Pastilha Performance Brembo,Brembo,freios,450.00,30,"Ferrari 360 1999-2005|Lamborghini Gallardo 2003-2013",Pastilha de freio para carros esportivos de alta performance.,/images/freios-131.jpg,"OEM-P85020",difícil,12,1.8,20.0,15.0,3.0,Performance Elite,PE-031,10
P132,Eibach-Barra-Estabilizadora,Barra Estabilizadora Eibach,Eibach,suspensao,680.00,20,"BMW M3 2007-2013|BMW M5 2005-2010",Barra estabilizadora para carros esportivos.,/images/suspensao-132.jpg,"OEM-E85820140",difícil,24,8.5,120.0,3.0,3.0,Suspensão Sport,SS-032,8
P133,Shell-Oleo-Helix-Ultra,Óleo Shell Helix Ultra 0W20,Shell,lubrificantes,85.90,50,"Toyota Prius 2009-2015|Honda Insight 2009-2014",Óleo sintético para motores híbridos.,/images/lubrificantes-133.jpg,,fácil,0,1.0,25.0,15.0,20.0,Eco Lubrificantes,EL-033,2
P134,Bosch-Sensor-ABS-445,Sensor ABS Bosch,Bosch,eletrica,180.00,55,"VW Jetta 2005-2010|Audi A3 2003-2012",Sensor de velocidade da roda para sistema ABS.,/images/eletrica-134.jpg,"OEM-1K0927807",médio,18,0.3,12.0,8.0,8.0,Eletrônica Bosch,EB-034,4
P135,Mahle-Termostato-Motor-667,Termostato do Motor Mahle,Mahle,motor,65.90,80,"Mercedes C180 2007-2014|Mercedes A200 2005-2012",Termostato para controle de temperatura do motor.,/images/motor-135.jpg,"OEM-2712000415",fácil,12,0.4,8.0,8.0,6.0,Refrigeração Pro,RP-035,3
P136,Osram-Kit-Xenon-H1,Kit Xenon H1 Osram,Osram,iluminacao,350.00,20,"Universal - Faróis H1",Kit completo xenon para conversão de faróis.,/images/iluminacao-136.jpg,,médio,24,1.2,30.0,20.0,10.0,Xenon Master,XM-036,5
P137,TRW-Cilindro-Roda-Traseiro,Cilindro de Roda Traseiro TRW,TRW,freios,85.90,70,"Fiat Uno 1984-2013|Fiat Palio 1996-2017",Cilindro de freio para roda traseira.,/images/freios-137.jpg,"OEM-77364071",médio,12,0.8,8.0,6.0,6.0,Freios Clássicos,FC-037,3
P138,Monroe-Batente-Amortecedor,Batente do Amortecedor Monroe,Monroe,suspensao,45.90,100,"Chevrolet Celta 2000-2015|Chevrolet Prisma 2006-2012",Batente de proteção para amortecedor dianteiro.,/images/suspensao-138.jpg,"OEM-93341543",fácil,6,0.3,15.0,10.0,10.0,Suspensão Nacional,SN-038,2
P139,Mobil-Fluido-Freio-DOT4,Fluido de Freio DOT4 Mobil,Mobil,fluidos,25.90,200,"Universal - Sistemas de freio",Fluido de freio sintético DOT4 de alta performance.,/images/fluidos-139.jpg,,fácil,0,0.5,15.0,8.0,20.0,Fluidos Pro,FP-039,1
P140,Denso-Radiador-Aluminio,Radiador de Alumínio Denso,Denso,arrefecimento,580.00,25,"Toyota Camry 2006-2011|Lexus ES350 2006-2012",Radiador de alumínio para melhor dissipação de calor.,/images/arrefecimento-140.jpg,"OEM-164000H160",difícil,24,8.5,60.0,40.0,5.0,Refrigeração Japonesa,RJ-040,9
P141,Continental-Correia-Dentada-Kit,Kit Correia Dentada Continental,Continental,motor,380.00,35,"Peugeot 307 2001-2008|Citroën C4 2004-2010",Kit completo com correia tensor e roldanas.,/images/motor-141.jpg,"OEM-CT1028K1",difícil,24,2.5,25.0,25.0,15.0,Motor França,MF-041,6
P142,Hella-Ventoinha-Radiador,Ventoinha do Radiador Hella,Hella,arrefecimento,280.00,40,"Ford Ka 2008-2014|Ford Fiesta 2002-2017",Ventoinha elétrica para arrefecimento do radiador.,/images/arrefecimento-142.jpg,"OEM-2S6H8C607AB",médio,18,2.8,35.0,35.0,8.0,Refrigeração Ford,RF-042,4
P143,Bendix-Cabo-Freio-Mao,Cabo do Freio de Mão Bendix,Bendix,freios,65.90,60,"Renault Logan 2007-2019|Renault Sandero 2007-2019",Cabo do freio de estacionamento traseiro.,/images/freios-143.jpg,"OEM-364201137R",fácil,12,0.8,150.0,1.0,1.0,Cabos & Comandos,CC-043,3
P144,KYB-Coxim-Amortecedor,Coxim do Amortecedor KYB,KYB,suspensao,55.90,85,"Nissan Tiida 2007-2012|Nissan Livina 2009-2014",Coxim superior do amortecedor dianteiro.,/images/suspensao-144.jpg,"OEM-54320ED000",fácil,12,0.5,12.0,12.0,5.0,Suspensão Nissan,SN-044,4
P145,Liqui-Moly-Limpa-Bico,Limpa Bico Liqui Moly,Liqui Moly,aditivos,28.90,120,"Universal - Sistemas de injeção",Aditivo para limpeza de bicos injetores.,/images/aditivos-145.jpg,,fácil,0,0.3,15.0,8.0,8.0,Aditivos Alemães,AA-045,2
P146,Magneti-Marelli-Alternador,Alternador Magneti Marelli,Magneti Marelli,eletrica,680.00,20,"Fiat Stilo 2002-2010|Fiat Bravo 2003-2010",Alternador de alta capacidade para motores 1.8.,/images/eletrica-146.jpg,"OEM-51854013",difícil,24,5.2,25.0,20.0,15.0,Elétrica Fiat,EF-046,7
P147,Pirelli-Pneu-Run-Flat,Pneu Run Flat 225/50R17 Pirelli,Pirelli,pneus,650.00,15,"BMW Série 3 2005-2012|BMW X1 2009-2015",Pneu run flat para veículos BMW.,/images/pneus-147.jpg,,difícil,36,12.5,70.0,70.0,22.5,Pneus Premium,PP-047,10
P148,Elring-Junta-Carter,Junta do Cárter Elring,Elring,motor,45.90,90,"VW Polo 2002-2009|Seat Ibiza 2002-2008",Junta de vedação do cárter de óleo.,/images/motor-148.jpg,"OEM-038103609AG",fácil,12,0.2,30.0,25.0,0.5,Vedações VW,VV-048,3
P149,Osram-Lampada-LED-W5W,Lâmpada LED W5W Osram,Osram,iluminacao,15.90,200,"Universal - Lanternas",Lâmpada LED para lanterna e placa.,/images/iluminacao-149.jpg,,fácil,12,0.05,3.0,1.0,1.0,LED Universal,LU-049,1
P150,Ate-Fluido-Embreagem,Fluido de Embreagem ATE,ATE,fluidos,35.90,80,"Universal - Sistemas hidráulicos",Fluido para sistemas de embreagem hidráulica.,/images/fluidos-150.jpg,,fácil,0,0.5,15.0,8.0,20.0,Fluidos Alemães,FA-050,2
P151,Febi-Suporte-Motor,Suporte do Motor Febi,Febi,motor,120.00,50,"Mercedes Classe A 1997-2004|Mercedes Classe B 2005-2011",Suporte de borracha para fixação do motor.,/images/motor-151.jpg,"OEM-1682400917",médio,18,1.2,15.0,12.0,10.0,Suportes Mercedes,SM-051,5
P152,Castrol-Oleo-Diferencial,Óleo de Diferencial Castrol,Castrol,lubrificantes,45.90,70,"Universal - Diferenciais",Óleo para diferencial e transmissão manual.,/images/lubrificantes-152.jpg,,médio,0,1.0,25.0,15.0,20.0,Transmissão Pro,TP-052,2
P153,Valeo-Compressor-AC,Compressor do Ar Condicionado Valeo,Valeo,ar_condicionado,1200.00,15,"Peugeot 206 2001-2012|Citroën C3 2003-2012",Compressor do sistema de ar condicionado.,/images/ar_condicionado-153.jpg,"OEM-6453QE",difícil,24,8.5,25.0,20.0,20.0,AC França,AC-053,12
P154,Lemforder-Bieleta-Estabilizadora,Bieleta Estabilizadora Lemförder,Lemförder,suspensao,75.90,65,"Audi A4 2000-2008|VW Passat 2000-2005",Bieleta da barra estabilizadora dianteira.,/images/suspensao-154.jpg,"OEM-8D0411317C",fácil,12,0.4,25.0,5.0,5.0,Suspensão Alemã,SA-054,4
P155,Mahle-Filtro-Oleo-Diesel,Filtro de Óleo Diesel Mahle,Mahle,filtros,55.90,75,"VW Amarok 2010-2020|Ford Ranger 2012-2020",Filtro de óleo para motores diesel.,/images/filtros-155.jpg,"OEM-2H0115561A",fácil,12,0.8,15.0,10.0,10.0,Diesel Parts,DP-055,3
P156,Textar-Disco-Freio-Solido,Disco de Freio Sólido Textar,Textar,freios,95.90,80,"Ford Ka 2008-2014|Ford Fiesta 2002-2017",Disco de freio sólido para roda traseira.,/images/freios-156.jpg,"OEM-1848301",médio,12,3.2,23.0,23.0,1.0,Freios Econômicos,FE-056,3
P157,Bilstein-Amortecedor-B6,Amortecedor Bilstein B6,Bilstein,suspensao,350.00,30,"Porsche 911 1997-2005|Porsche Boxster 1996-2004",Amortecedor esportivo para carros de alta performance.,/images/suspensao-157.jpg,"OEM-99634305153",difícil,24,3.8,45.0,6.0,6.0,Performance Alemã,PA-057,8
P158,Motorcraft-Vela-Iridium,Vela Iridium Motorcraft,Motorcraft,eletrica,45.90,100,"Ford EcoSport 2003-2012|Ford Fiesta 2002-2017",Vela de ignição com eletrodo de irídio.,/images/eletrica-158.jpg,"OEM-SP493",fácil,12,0.08,19.0,14.0,14.0,Ford Performance,FP-058,3
P159,Pierburg-Valvula-EGR,Válvula EGR Pierburg,Pierburg,motor,380.00,25,"VW Golf 2003-2008|Audi A3 2003-2012",Válvula de recirculação dos gases de escape.,/images/motor-159.jpg,"OEM-038131501AQ",difícil,24,1.8,15.0,12.0,10.0,Emissões Pro,EP-059,6
P160,Philips-Kit-Lampadas-H4,Kit Lâmpadas H4 Philips,Philips,iluminacao,65.90,60,"Universal - Faróis H4",Kit com 2 lâmpadas halógenas H4.,/images/iluminacao-160.jpg,,fácil,12,0.2,15.0,10.0,5.0,Iluminação Básica,IB-060,2
P161,Zimmermann-Pastilha-Low-Dust,Pastilha Low Dust Zimmermann,Zimmermann,freios,180.00,45,"Mercedes Classe E 2002-2009|BMW Série 5 2003-2010",Pastilha de freio com baixa produção de pó.,/images/freios-161.jpg,"OEM-0044205020",fácil,18,1.5,18.0,12.0,2.8,Freios Premium,FP-061,5
P162,Sachs-Rolamento-Embreagem,Rolamento da Embreagem Sachs,Sachs,transmissao,85.90,55,"Chevrolet Corsa 1994-2012|Chevrolet Celta 2000-2015",Rolamento de acionamento da embreagem.,/images/transmissao-162.jpg,"OEM-3151000522",médio,12,0.8,8.0,8.0,6.0,Embreagem GM,EG-062,4
P163,Total-Oleo-Gear-80W90,Óleo de Câmbio 80W90 Total,Total,lubrificantes,35.90,90,"Universal - Câmbios manuais",Óleo mineral para transmissões manuais.,/images/lubrificantes-163.jpg,,médio,0,1.0,25.0,15.0,20.0,Transmissão Básica,TB-063,2
P164,Delphi-Bomba-Direcao,Bomba da Direção Hidráulica Delphi,Delphi,direcao,450.00,20,"Chevrolet Vectra 2005-2011|Chevrolet Astra 2005-2011",Bomba da direção hidráulica.,/images/direcao-164.jpg,"OEM-93333743",difícil,24,3.5,20.0,15.0,15.0,Direção GM,DG-064,7
P165,Corteco-Junta-Homocinética,Junta Homocinética Corteco,Corteco,transmissao,180.00,40,"Fiat Punto 2007-2012|Fiat Linea 2008-2014",Junta homocinética externa com coifa.,/images/transmissao-165.jpg,"OEM-46307712",médio,18,2.1,25.0,15.0,15.0,Transmissão Fiat,TF-065,5
P166,Hankook-Pneu-Inverno,Pneu de Inverno 195/65R15 Hankook,Hankook,pneus,420.00,30,"Universal - Clima frio",Pneu especial para condições de inverno.,/images/pneus-166.jpg,,difícil,36,8.8,62.0,62.0,19.5,Pneus Especiais,PE-066,8
P167,Brembo-Disco-Carbono,Disco de Carbono Brembo,Brembo,freios,1200.00,10,"Ferrari F430 2004-2009|Lamborghini Murciélago 2001-2010",Disco de freio de carbono para supercarros.,/images/freios-167.jpg,"OEM-P85020C",difícil,12,2.5,35.0,35.0,3.5,Supercars Parts,SP-067,15
P168,Eibach-Mola-Pro-Kit,Kit Molas Pro-Kit Eibach,Eibach,suspensao,580.00,15,"Honda Civic Type R 2007-2011|Honda S2000 1999-2009",Kit de molas esportivas para rebaixamento.,/images/suspensao-168.jpg,"OE85118140",médio,24,8.5,35.0,20.0,20.0,Tuning Honda,TH-068,6
P169,Shell-Oleo-Rotella-Diesel,Óleo Diesel Shell Rotella,Shell,lubrificantes,95.90,40,"Universal - Motores diesel pesados",Óleo para motores diesel de caminhões e ônibus.,/images/lubrificantes-169.jpg,,fácil,0,1.0,25.0,15.0,20.0,Diesel Pesado,DP-069,3
P170,Bosch-Central-Injecao,Central de Injeção Bosch,Bosch,eletrica,850.00,15,"VW Gol 1.0 Mi 1997-2005|VW Parati 1.0 Mi 1997-2005",Central de injeção eletrônica monoponto.,/images/eletrica-170.jpg,"OEM-377906259C",difícil,24,1.8,15.0,12.0,8.0,Injeção Clássica,IC-070,8
P171,Mahle-Intercooler-Turbo,Intercooler Mahle,Mahle,motor,680.00,20,"Audi A4 2.0T 2005-2008|VW Passat 2.0T 2005-2010",Intercooler para motores turbo.,/images/motor-171.jpg,"OEM-8E0145805E",difícil,24,4.5,60.0,25.0,8.0,Turbo Parts,TP-071,9
P172,Osram-Reator-Xenon,Reator Xenon Osram,Osram,iluminacao,280.00,25,"Universal - Sistemas xenon",Reator para lâmpadas de xenon.,/images/iluminacao-172.jpg,,médio,24,0.8,15.0,10.0,5.0,Xenon Tech,XT-072,5
P173,TRW-Servo-Freio,Servo Freio TRW,TRW,freios,380.00,25,"Ford Escort 1997-2003|Ford Zetec 1997-2002",Servo freio para assistência de frenagem.,/images/freios-173.jpg,"OEM-97BG2005BA",difícil,24,2.8,25.0,20.0,15.0,Freios Ford Clássico,FFC-073,6
P174,Monroe-Kit-Batente-Coifa,Kit Batente e Coifa Monroe,Monroe,suspensao,65.90,70,"Fiat Siena 1996-2012|Fiat Palio 1996-2017",Kit completo com batente e coifa do amortecedor.,/images/suspensao-174.jpg,"OEM-77364071K",fácil,6,0.5,20.0,15.0,15.0,Kits Suspensão,KS-074,3
P175,Mobil-Graxa-Rolamentos,Graxa para Rolamentos Mobil,Mobil,lubrificantes,25.90,150,"Universal - Rolamentos e buchas",Graxa de lítio para rolamentos e buchas.,/images/lubrificantes-175.jpg,,fácil,0,0.4,12.0,8.0,8.0,Graxas Pro,GP-075,1
P176,Denso-Condensador-AC,Condensador do Ar Condicionado Denso,Denso,ar_condicionado,450.00,30,"Toyota Corolla 2008-2014|Toyota Etios 2012-2020",Condensador do sistema de ar condicionado.,/images/ar_condicionado-176.jpg,"OEM-8846002270",médio,24,3.2,50.0,30.0,2.0,AC Toyota,ACT-076,7
P177,Continental-Pneu-EcoContact,Pneu EcoContact 175/70R14 Continental,Continental,pneus,280.00,60,"Chevrolet Celta 2000-2015|Chevrolet Prisma 2006-2012",Pneu ecológico com baixa resistência ao rolamento.,/images/pneus-177.jpg,,difícil,36,7.5,55.0,55.0,17.5,Pneus Eco,PE-077,6
P178,Hella-Modulo-LED,Módulo LED Hella,Hella,iluminacao,180.00,40,"Universal - Lanternas LED",Módulo LED para lant